ID,Title,Topic,Category,URL,Description,Words,Duration,YouTube Title,Video Path
1,KANNADA - LION & THE LITTLE RED BIRD - ELISA KLEVIN - 30 SEP 2012 -,9,Plants and trees,http://www.youtube.com/watch?v=4VGVOHFCNN4,This is a dramatized version of a wonderful story written by Eliza Klevin. We have a notion that all lions are dreadful and should be feared. In this story the lion is an accomplished artist who paints using his tail as a brush. This is a lovely story of the friendship between the lion and a curious little red bird.,"red, tail, lovely, story, wonderful, bird, lion, brush, friendship, curious, accomplished, artist, dramatized, dreadful, eliza, feared, klevin, lions, notion, paints, version, written",6 MIN,LION AND LITTLE RED BIRD - KANNADA - 41MB.avi,downloads/LION AND LITTLE RED BIRD - KANNADA - 41MB.avi.mp4
2,KANNADA - BOYLE'S BALLOON - 04 NOV 2009 -,6,Mixing and reactions,http://www.youtube.com/watch?v=dc19RfpEx8c,"This experiment is a graphic demonstration of Boyle's Law. You will need a 50-ml new plastic injection syringe and a baby balloon. On shutting the outlet and pushing the plunger ""in"" the air pressure will increase and the balloon will shrink. On pulling out the plunger  the baby balloon will enlarge.
http://www.arvindguptatoys.com/toys/syr.html ","balloon, air, experiment, syringe, shrink, plunger, ml, baby, pressure, pulling, increase, law, pushing, plastic, outlet, injection, boyle's, demonstration, enlarge, graphic, shutting, syr.html",1 MIN 13 SEC,BOYLE'S BALLOON - KANNADA - 19MB,downloads/BOYLE'S BALLOON - KANNADA - 19MB.mp4
3,KANNADA - THREAD LOOP - 17 NOV 2009 -,3,Heat and air,http://www.youtube.com/watch?v=Dt19XaRRoxA,"This lung exerciser is made with a straw and piece of thread. This toy is a boon for children suffering from asthma. As children blow through the straw the thread loop goes round and round bringing immense joy to the child and egging her to blow harder and to exercise her lungs.
http://www.arvindguptatoys.com/toys/threadloop.html ","straw, blow, piece, children, round, thread, lungs, exercise, bringing, loop, child, asthma, boon, egging, exerciser, harder, immense, joy, lung, suffering, threadloop.html",1 MIN 07 SEC,THREAD LOOP - KANNADA - 15MB,downloads/THREAD LOOP - KANNADA - 15MB.mp4
3,KANNADA - THREAD LOOP - 26 JUNE 2010 -,3,Heat and air,http://www.youtube.com/watch?v=CwQK6M0GdYE,"This lung exerciser is made with a straw and piece of thread. This toy is a boon for children suffering from asthma. As children blow through the straw the thread loop goes round and round bringing immense joy to the child and egging her to blow harder and to exercise her lungs.
http://www.arvindguptatoys.com/toys/threadloop.html ","straw, blow, piece, children, round, thread, lungs, exercise, bringing, loop, child, asthma, boon, egging, exerciser, harder, immense, joy, lung, suffering, threadloop.html",1 MIN 06 SEC,THREAD LOOP - KANNADA - 14MB.wmv,downloads/THREAD LOOP - KANNADA - 14MB.wmv.mp4
4,KANNADA - CD HOVERCRAFT - 11 JULY 2010 -,6,Mixing and reactions,http://www.youtube.com/watch?v=9asrXdV16MA,"Make a lovely Hovercraft with an old CD. You need to place an inflated balloon in the center of the CD such that the air escapes very slowly from below. Place it on a smooth surface and give it a gentle push. The CD will skim smoothly on the cushion of escaping air. Hovercrafts work on this principle.
http://www.arvindguptatoys.com/toys/hovercraft.html ","balloon, air, surface, inflated, push, escaping, slowly, escapes, center, lovely, principle, cushion, hovercraft.html, hovercrafts, skim, hovercraft, gentle, smoothly, smooth, cd",2 MIN 12 SEC,CD-HOVERCRAFT - KANNADA - 25MB.wmv,downloads/CD-HOVERCRAFT - KANNADA - 25MB.wmv.mp4
5,KANNADA - PULL PLUNGER - 11 JULY 2010 -,10,Air and sound,http://www.youtube.com/watch?v=mgNUbzt3oNQ,"This experiment demonstrates the power of vacuum. Take two Sanitary Rubber Plungers used for cleaning drains. Place them mouth-to-mouth and press them to lock. Now try pulling them apart. It will be very difficult to separate them. This demonstrates the enormous power of vacuum.
http://www.arvindguptatoys.com/toys/pushplungers.html ","rubber, press, mouth, experiment, pulling, separate, enormous, vacuum, difficult, drains, lock, cleaning, plungers, pushplungers.html, sanitary, demonstrates, power",1 MIN 38 SEC,PULL PLUNGERS - KANNADA - 20MB.wmv,downloads/PULL PLUNGERS - KANNADA - 20MB.wmv.mp4
6,KANNADA - BALL IN AIR - 11 JULY 2010 -,1,Spinning and moving objects,http://www.youtube.com/watch?v=yrLp0jhYCEc,"In this fun experiment you can levitate a ping-pong ball. First punch a hole at the end of a fat straw and seal that end. Now place a ping-pong ball on the hole and blow from the other end. A stream of air will come out and keep the ball hanging in the air. The stream of air will keep the ball afloat. 
http://www.arvindguptatoys.com/toys/floating.html ","straw, ball, hole, air, blow, fun, experiment, hanging, ping, pong, stream, fat, punch, seal, levitate, afloat, floating.html",0 MIN 48 SEC,BALL IN AIR - KANNADA - 10MB.wmv,downloads/BALL IN AIR - KANNADA - 10MB.wmv.mp4
7,KANNADA - BOTTLE JET - 13 JUNE 2010 -,10,Air and sound,http://www.youtube.com/watch?v=Ymw2tPscrUM,"The Bottle Jet Car is a favorite with children. The bottle car is connected to a Bicycle Pump with the help of a cork and tube. On pumping the bottle gets filled with compressed air. Then lo! The cork detaches and the bottle-car shoots forwards like a jet and goes 30-feet forwards!
http://www.arvindguptatoys.com/toys/bottlejet.htmls ","bottle, air, tube, pump, children, forwards, filled, cork, car, jet, compressed, feet, connected, pumping, bicycle, bottlejet.htmls, detaches, favorite, lo, shoots",59 SEC,BOTTLE JET - KANNADA - 12MB.wmv,downloads/BOTTLE JET - KANNADA - 12MB.wmv.mp4
8,KANNADA - CANDLE FUN - 11 JULY 2010 -,3,Heat and air,http://www.youtube.com/watch?v=UNl2g5iXoXk,"This fun experiment can be done with a glass, a saucer, a few candles and a matchbox. Place a lighted candle in a saucer with water and then cover it with glass. The oxygen in the glass will be burnt by the candles and because of partial vacuum the water will rise in the glass. Repeat this experiment with two and three candles. The water will rise higher. Is there something more than meets the eye?
http://www.arvindguptatoys.com/toys/oxygen.html","water, glass, candle, experiment, oxygen, candles, rise, vacuum, partial, cover, fun, repeat, burnt, lighted, eye, saucer, matchbox, meets, oxygen.html",1 MIN 31 SEC,CANDLE FUN - KANNADA - 20MB.wmv,downloads/CANDLE FUN - KANNADA - 20MB.wmv.mp4
9,KANNADA - PRESSURE MAGIC - 11 JULY 2010 -,6,Mixing and reactions,http://www.youtube.com/watch?v=NllcPm7k4IQ,"This is a fun experiment with Air Pressure. Fix two balloons to the ends of the two rubber tubes. Place both balloons in a round bottom flask and shut the cork. Then loosen the cork and blow through any tube to inflate one balloon. Then fix the cork back. Now by blowing and sucking through any tube you can inflate and deflate the balloons. 
http://www.arvindguptatoys.com/toys/pressure.html ","balloon, air, experiment, tube, inflate, blow, pressure, rubber, balloons, fun, flask, bottom, cork, blowing, shut, deflate, fix, round, sucking, tubes, loosen, pressure.html",2 MIN 21 SEC,PRESSURE MAGIC - KANNADA - 25MB.wmv,downloads/PRESSURE MAGIC - KANNADA - 25MB.wmv.mp4
