"topic","Words"
1,"coin, cone, coins, cylinder, sand, magnet, spin, stick, volume, straw, top, tubes, limbs, sector, body, hands, bottles, rupner, fun, cones"
2,"water, weight, balance, pipe, fingers, stone, charged, inside, experiment, kerosene, charge, wool, mug, pvc, astrosat, lighter, pan, fist, day, touching"
3,"water, straw, glass, bottle, hot, surface, experiment, hole, cold, fill, force, float, top, balls, bowl, colored, drop, plastic, tension, base"
4,"coil, wire, led, battery, magnet, copper, motor, magnets, current, pulley, strong, neodymium, field, light, star, magnetic, insulated, connect, generator, spinning"
5,"cup, magnet, paper, butterfly, doll, stick, top, pieces, base, cut, ring, pipe, glue, magnets, card, pens, box, sheet, shape, steel"
6,"solution, beaker, water, color, add, oranges, acid, reaction, mixture, nitrate, lead, crystals, nitric, experiment, potassium, red, copper, rupner, acidic, ammonium"
7,"triangles, triangle, square, angle, pyramid, angles, degrees, triangular, cut, sun, base, join, half, rectangle, shadow, house, equal, tetrahedron, volume, paper"
8,"strip, paper, strips, cut, card, stick, box, sheet, glue, tape, scissors, left, bird, twist, rectangular, twisted, model, chimney, loop, wide"
9,"straws, marble, legs, cut, paper, tail, sheet, center, straw, gravity, hands, joker, balance, card, mars, move, water, balancing, animal, fish"
10,"water, energy, cap, earth, jcb, piston, plates, fountain, simple, move, top, syringe, pipe, tube, movement, effect, moves, needle, fault, huge"
11,"fan, pen, spoke, magnets, spin, ceiling, spins, round, magnet, card, spinning, plastic, spinner, ring, cycle, bird, blades, propeller, ball, pencil"
12,"ring, thread, band, string, rubber, spring, loop, pull, remove, cube, red, puzzle, simple, threads, beads, tie, middle, top, weave, slide"
13,"wire, rupner, ball, motor, crank, sound, glider, screw, spin, holes, musical, hold, model, nut, plastic, times, lids, legs, beautiful, bowl"
14,"fold, paper, square, model, triangle, half, cut, triangles, line, shown, edge, repeat, glue, top, lines, folding, beautiful, edges, base, corners"
15,"glass, light, film, train, oil, rod, speed, top, laser, soap, path, magnets, direction, air, steel, motion, slope, inside, cooking, stick"
16,"lantern, cut, boat, thread, size, glue, card, paper, stick, bulb, beautiful, light, piece, top, lines, deer, puzzle, short, bag, air"
17,"tube, sticks, matchsticks, swan, candle, fans, valve, plate, flame, matchstick, squares, needle, fan, experiment, cycle, aluminum, hexagons, voltage, tooth, light"
18,"balloon, ball, air, water, tube, straw, syringe, tie, plastic, paper, experiment, hold, matchbox, inside, mouth, thin, card, cup, blow, pump"
19,"tree, flowers, leaves, fruit, leaf, called, trees, flower, india, straw, banyan, grown, pod, red, wood, fruits, yellow, brown, winged, pods"
20,"sun, hemisphere, earth, northern, wheel, summers, piece, water, southern, winters, heat, diameter, summer, seasons, flexagon, energy, circle, moves, days, larger"
21,"water, glass, candle, inside, oxygen, air, volume, burning, pressure, gas, newspaper, dioxide, tin, carbon, candles, heat, experiment, cap, light, children"
22,"moon, earth, sun, gear, tree, frame, clock, neem, paper, stick, days, axis, drum, night, solar, spinning, propeller, cups, model, gravity"
23,"cd, stick, motor, spin, fan, spiral, sticks, spinning, cut, petals, glue, card, disc, wire, battery, straw, top, hole, blades, cream"
24,"bottle, lid, air, plastic, hole, straw, balloon, cut, blow, mouth, press, pump, holes, valve, base, sound, rupner, screw, cycle, tube"
