"topic","Words"
1,"fan, spin, stick, pen, straw, cd, card, top, spoke, spinning, magnet, magnets, ring, spins, cut, wire, ceiling, cone, plastic, ball"
2,"water, glass, pipe, ring, light, experiment, weight, coin, surface, bowl, inside, spring, force, air, oil, balls, move, ball, piece, plastic"
3,"water, glass, candle, straw, hot, experiment, cut, air, bottle, inside, marble, chimney, box, hole, paper, cold, light, top, burning, oxygen"
4,"wire, motor, coil, magnet, battery, magnets, led, copper, strong, current, pulley, stick, neodymium, magnetic, field, light, volt, bulb, spin, rubber"
5,"square, triangles, cut, triangle, sticks, paper, pieces, butterfly, base, cup, legs, pyramid, triangular, puzzle, card, box, rectangle, glue, squares, stick"
6,"balloon, water, air, solution, beaker, color, add, straw, oranges, experiment, reaction, valve, acid, tube, syringe, size, boat, inflate, pump, soap"
7,"sun, earth, moon, degrees, angle, hemisphere, days, angles, day, northern, summers, time, shadow, soap, tropic, directly, larger, summer, axis, energy"
8,"fold, paper, square, strip, cut, model, half, triangle, glue, stick, card, beautiful, strips, sheet, triangles, top, line, bird, shown, red"
9,"tree, flowers, leaf, fruit, leaves, trees, called, india, flower, beautiful, banyan, wood, gear, water, red, straw, grown, mango, petals, green"
10,"bottle, lid, plastic, hole, water, ball, cut, rupner, straw, base, rubber, top, holes, air, press, sound, mouth, screw, tube, film"
